Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
5998;19;9;2017;13;22;26;31;36;38
5999;21;9;2017;9;10;17;18;32;48
6000;23;9;2017;33;35;37;39;48;49
6001;26;9;2017;7;37;41;46;47;49
6002;28;9;2017;11;12;17;29;32;36
6003;30;9;2017;6;22;26;28;43;44
6004;3;10;2017;2;8;11;21;40;45
6005;5;10;2017;8;14;29;39;45;47
6006;7;10;2017;1;8;15;34;35;36
6007;10;10;2017;7;12;14;17;23;40
6008;12;10;2017;6;7;15;24;28;36
6009;14;10;2017;3;8;18;19;21;30
6010;17;10;2017;5;9;18;38;40;43
6011;19;10;2017;4;15;21;26;30;38
6012;21;10;2017;2;11;13;22;25;37
6013;24;10;2017;7;19;23;38;39;40
6014;26;10;2017;1;18;22;38;41;43
6015;28;10;2017;22;24;25;28;46;47
6016;31;10;2017;6;11;19;25;27;40
6017;2;11;2017;1;2;4;10;36;40
6018;4;11;2017;2;5;11;18;28;46
6019;7;11;2017;10;13;27;35;43;47
6020;9;11;2017;7;12;13;16;31;34
6021;11;11;2017;3;12;18;23;24;38
6022;14;11;2017;3;16;26;28;33;36
6023;16;11;2017;5;13;20;37;43;47
6024;18;11;2017;21;22;28;30;32;49
6025;21;11;2017;1;4;15;45;47;49
6026;23;11;2017;10;32;35;37;40;44
6027;25;11;2017;4;5;19;32;35;49
6028;28;11;2017;6;9;15;17;31;43
6029;30;11;2017;5;14;16;20;29;30
6030;2;12;2017;3;8;13;22;25;35
6031;5;12;2017;2;7;18;30;40;43
6032;7;12;2017;20;23;30;37;39;41
6033;9;12;2017;1;9;13;18;26;38
6034;12;12;2017;23;28;34;36;37;47
6035;14;12;2017;7;8;16;22;41;44
6036;16;12;2017;3;4;14;16;19;32
6037;19;12;2017;2;4;9;12;24;31
6038;21;12;2017;13;21;23;35;38;47
6039;23;12;2017;14;15;17;25;36;39
6040;26;12;2017;13;24;25;30;32;45
6041;28;12;2017;12;34;36;41;43;44
6042;30;12;2017;3;6;8;12;18;46
6043;2;1;2018;5;16;27;42;45;49
6044;4;1;2018;16;21;23;25;38;47
6045;6;1;2018;14;17;20;21;27;31
6046;9;1;2018;1;3;15;39;40;44
6047;11;1;2018;9;11;17;36;38;47
6048;13;1;2018;21;25;26;29;35;49
6049;16;1;2018;2;7;16;27;36;49
6050;18;1;2018;11;13;17;22;27;28
6051;20;1;2018;9;23;30;36;40;45
6052;23;1;2018;5;16;25;37;45;49
6053;25;1;2018;20;30;36;39;43;46
6054;27;1;2018;9;10;20;29;38;40
6055;30;1;2018;8;9;15;26;44;47
6056;1;2;2018;18;29;31;33;44;45
6057;3;2;2018;5;14;17;20;37;40
6058;6;2;2018;5;7;21;27;34;44
6059;8;2;2018;5;9;11;37;39;41
6060;10;2;2018;4;5;15;19;28;36
6061;13;2;2018;8;23;25;29;42;45
6062;15;2;2018;7;8;10;12;20;38
6063;17;2;2018;3;12;34;35;42;49
6064;20;2;2018;7;14;16;18;44;49
6065;22;2;2018;6;27;38;40;43;44
6066;24;2;2018;12;35;39;42;44;45
6067;27;2;2018;6;22;28;38;39;47
6068;1;3;2018;2;17;32;36;39;43
6069;3;3;2018;3;8;18;31;39;45
6070;6;3;2018;5;9;11;17;18;29
6071;8;3;2018;7;8;10;20;21;49
6072;10;3;2018;2;5;26;34;35;36
6073;13;3;2018;9;26;35;39;45;49
6074;15;3;2018;18;31;36;39;42;47
6075;17;3;2018;1;10;27;32;44;47
6076;20;3;2018;14;15;20;28;33;37
6077;22;3;2018;4;5;8;18;34;35
6078;24;3;2018;9;12;15;31;38;41
6079;27;3;2018;9;16;20;21;22;27
6080;29;3;2018;8;12;20;23;26;40
6081;31;3;2018;11;14;26;37;42;43
6082;3;4;2018;1;3;10;16;36;38
6083;5;4;2018;9;13;23;26;41;42
6084;7;4;2018;9;11;16;28;31;48
6085;10;4;2018;12;14;25;33;34;44
6086;12;4;2018;6;8;30;35;40;42
6087;14;4;2018;9;11;12;26;44;45
6088;17;4;2018;8;11;13;31;39;44
6089;19;4;2018;3;6;18;22;25;43
6090;21;4;2018;9;12;16;21;24;30
6091;24;4;2018;19;20;24;36;45;49
6092;26;4;2018;7;12;22;37;41;43
6093;28;4;2018;1;18;20;25;35;46
6094;1;5;2018;1;28;33;34;42;49
6095;3;5;2018;7;17;33;41;45;47
6096;5;5;2018;1;14;16;18;33;44
6097;8;5;2018;4;17;31;33;35;39
6098;10;5;2018;5;20;24;33;38;42
6099;12;5;2018;13;18;27;33;36;43
6100;15;5;2018;5;10;13;38;45;48
6101;17;5;2018;4;7;19;32;43;46
6102;19;5;2018;2;13;30;31;38;49
6103;22;5;2018;2;13;33;35;36;43
6104;24;5;2018;6;9;16;17;40;43
6105;26;5;2018;13;15;16;36;43;47
6106;29;5;2018;7;18;23;25;34;48
6107;31;5;2018;10;19;29;36;37;41
6108;2;6;2018;8;11;21;39;45;46
6109;5;6;2018;17;26;37;39;41;42
6110;7;6;2018;4;10;11;16;40;48
6111;9;6;2018;4;16;24;26;34;45
6112;12;6;2018;1;4;16;21;27;43
6113;14;6;2018;8;15;21;30;35;49
6114;16;6;2018;10;16;22;38;42;47
6115;19;6;2018;4;10;19;20;22;43
6116;21;6;2018;3;12;24;29;34;41
6117;23;6;2018;1;12;20;21;29;32
6118;26;6;2018;20;24;27;28;29;48
6119;28;6;2018;2;14;17;19;46;47
6120;30;6;2018;3;15;17;32;42;49
6121;3;7;2018;2;10;21;44;46;49
6122;5;7;2018;2;13;24;27;32;33
6123;7;7;2018;13;20;22;23;33;42
6124;10;7;2018;4;9;14;15;18;22
6125;12;7;2018;9;10;13;24;42;44
6126;14;7;2018;4;11;20;26;29;42
6127;17;7;2018;20;22;23;29;31;45
6128;19;7;2018;1;9;11;24;42;46
6129;21;7;2018;22;26;27;35;37;41
6130;24;7;2018;4;14;26;28;31;44
6131;26;7;2018;6;8;11;19;24;26
6132;28;7;2018;11;28;42;43;45;49
6133;31;7;2018;1;18;19;22;31;46
6134;2;8;2018;15;24;32;35;42;48
6135;4;8;2018;2;6;15;28;33;49
6136;7;8;2018;10;15;16;23;36;42
6137;9;8;2018;3;23;24;30;39;49
6138;11;8;2018;14;20;21;31;43;46
6139;14;8;2018;6;27;32;34;37;49
6140;16;8;2018;11;19;22;29;41;48
6141;18;8;2018;3;13;19;26;33;40
6142;21;8;2018;1;12;22;26;37;42
6143;23;8;2018;3;11;24;25;28;36
6144;25;8;2018;23;24;27;36;45;48
6145;28;8;2018;1;7;20;22;24;46
6146;30;8;2018;6;14;17;25;42;46
6147;1;9;2018;14;20;26;33;42;44
6148;4;9;2018;3;4;8;22;33;48
6149;6;9;2018;5;10;18;33;36;49
6150;8;9;2018;7;23;27;31;44;45
6151;11;9;2018;5;18;25;34;43;48
6152;13;9;2018;1;10;14;32;41;44
6153;15;9;2018;3;7;8;32;39;47
6154;18;9;2018;9;11;20;24;29;33
6155;20;9;2018;16;26;27;34;38;44
6156;22;9;2018;23;25;27;43;46;48
6157;25;9;2018;3;24;35;36;39;46
6158;27;9;2018;3;8;19;32;34;45
6159;29;9;2018;10;11;13;27;30;46
6160;2;10;2018;7;16;23;33;38;46
6161;4;10;2018;16;20;21;30;43;47
6162;6;10;2018;3;7;9;23;29;45
6163;9;10;2018;2;16;25;34;45;49
6164;11;10;2018;2;15;36;38;42;45
6165;13;10;2018;3;6;13;15;19;20
6166;16;10;2018;4;17;18;23;34;43
6167;18;10;2018;2;10;11;26;33;48
6168;20;10;2018;9;14;21;24;30;44
6169;23;10;2018;23;26;35;41;42;44
6170;25;10;2018;16;20;32;41;46;47
6171;27;10;2018;8;11;14;25;32;44
6172;30;10;2018;25;28;30;33;43;49
6173;1;11;2018;9;10;16;24;25;26
6174;3;11;2018;1;9;23;40;42;47
6175;6;11;2018;21;24;38;39;40;49
6176;8;11;2018;4;8;21;37;38;40
6177;10;11;2018;2;6;8;18;36;49
6178;13;11;2018;9;29;31;38;43;44
6179;15;11;2018;2;16;18;23;32;49
6180;17;11;2018;17;21;24;34;36;40
6181;20;11;2018;3;6;9;12;13;32
6182;22;11;2018;4;19;20;25;38;42
6183;24;11;2018;3;4;9;21;34;48
6184;27;11;2018;5;8;26;33;43;44
6185;29;11;2018;7;12;20;26;38;46
6186;1;12;2018;1;4;6;16;28;41
6187;4;12;2018;2;14;16;32;33;39
6188;6;12;2018;1;30;32;42;43;48
6189;8;12;2018;1;8;28;29;37;39
6190;11;12;2018;13;19;20;28;34;40
6191;13;12;2018;4;7;10;11;15;18
6192;15;12;2018;1;6;22;26;32;35
6193;18;12;2018;5;13;21;38;40;43
6194;20;12;2018;6;8;19;28;33;48
6195;22;12;2018;2;10;23;32;41;43
6196;25;12;2018;3;12;34;40;45;47
6197;27;12;2018;1;12;20;31;34;49
6198;29;12;2018;10;24;35;37;41;48
6199;1;1;2019;7;12;22;25;36;45
6200;3;1;2019;13;17;29;30;37;46
6201;5;1;2019;1;2;11;22;29;41
6202;8;1;2019;9;16;19;22;40;44
6203;10;1;2019;5;12;19;23;28;32
6204;12;1;2019;10;17;20;21;23;43
6205;15;1;2019;8;26;28;31;37;42
6206;17;1;2019;2;11;18;20;28;36
6207;19;1;2019;3;4;7;25;30;37
6208;22;1;2019;13;21;31;33;38;49
6209;24;1;2019;1;12;21;27;30;33
6210;26;1;2019;3;8;18;21;29;47
6211;29;1;2019;17;18;29;31;34;35
6212;31;1;2019;1;9;10;23;31;43
6213;2;2;2019;7;10;26;30;37;40
6214;5;2;2019;4;18;24;25;26;42
6215;7;2;2019;3;10;38;42;44;45
6216;9;2;2019;6;15;16;30;40;46
6217;12;2;2019;4;5;16;41;47;49
6218;14;2;2019;20;23;30;35;38;39
6219;16;2;2019;11;21;33;34;40;49
6220;19;2;2019;3;16;19;30;39;40
6221;21;2;2019;6;23;30;40;42;44
6222;23;2;2019;1;4;6;18;44;46
6223;26;2;2019;13;14;27;28;33;44
6224;28;2;2019;2;4;8;27;42;45
6225;2;3;2019;3;6;43;45;47;49
6226;5;3;2019;4;6;18;25;43;49
6227;7;3;2019;11;14;18;22;24;35
6228;9;3;2019;3;7;10;23;24;37
6229;12;3;2019;1;12;15;25;36;44
6230;14;3;2019;2;6;14;18;25;43
6231;16;3;2019;14;16;33;39;42;45
6232;19;3;2019;8;18;22;25;28;29
6233;21;3;2019;1;4;5;9;48;49
6234;23;3;2019;9;14;25;36;40;47
6235;26;3;2019;5;6;13;24;26;40
6236;28;3;2019;12;16;20;21;31;39
6237;30;3;2019;6;8;17;31;34;46
6238;2;4;2019;1;19;27;34;44;46
6239;4;4;2019;2;3;15;28;29;38
6240;6;4;2019;2;3;7;25;32;35
6241;9;4;2019;16;20;22;27;43;47
6242;11;4;2019;2;16;24;40;44;45
6243;13;4;2019;24;25;26;29;36;40
6244;16;4;2019;14;22;26;31;37;42
6245;18;4;2019;8;13;19;37;40;45
6246;20;4;2019;1;18;19;22;39;40
6247;23;4;2019;9;11;30;32;33;36
6248;25;4;2019;8;10;32;34;35;49
6249;27;4;2019;1;2;19;26;29;31
6250;30;4;2019;25;28;33;34;45;46
6251;2;5;2019;3;21;22;23;31;32
6252;4;5;2019;8;25;27;40;41;46
6253;7;5;2019;7;16;19;21;36;44
6254;9;5;2019;1;10;20;21;24;42
6255;11;5;2019;2;16;17;29;31;47
6256;14;5;2019;2;8;18;20;25;37
6257;16;5;2019;3;10;11;22;30;39
6258;18;5;2019;13;19;24;31;37;46
6259;21;5;2019;3;9;10;25;26;40
6260;23;5;2019;17;18;25;29;32;41
6261;25;5;2019;5;20;26;37;39;49
6262;28;5;2019;10;12;18;28;40;45
6263;30;5;2019;9;17;18;33;36;46
6264;1;6;2019;3;5;9;30;36;39
6265;4;6;2019;4;5;6;34;44;49
6266;6;6;2019;2;25;31;34;43;44
6267;8;6;2019;1;3;17;26;35;48
6268;11;6;2019;3;13;17;28;42;49
6269;13;6;2019;3;12;23;43;45;47
6270;15;6;2019;3;12;19;22;28;33
6271;18;6;2019;1;3;21;36;42;49
6272;20;6;2019;4;14;15;18;39;45
6273;22;6;2019;1;4;6;10;24;30
6274;25;6;2019;18;26;28;32;45;47
6275;27;6;2019;13;17;22;23;24;29
6276;29;6;2019;17;21;37;38;42;49
6277;2;7;2019;6;8;29;30;33;47
6278;4;7;2019;7;20;26;33;37;48
6279;6;7;2019;3;13;20;32;39;42
6280;9;7;2019;10;27;32;34;41;48
6281;11;7;2019;2;11;19;25;31;44
6282;13;7;2019;3;16;18;25;27;49
6283;16;7;2019;4;8;28;39;41;46
6284;18;7;2019;15;25;37;43;44;48
6285;20;7;2019;6;20;22;23;42;49
6286;23;7;2019;1;7;8;11;38;49
6287;25;7;2019;1;5;17;19;40;48
6288;27;7;2019;5;16;29;33;37;43
6289;30;7;2019;3;5;7;13;17;21
6290;1;8;2019;7;11;12;15;25;37
6291;3;8;2019;17;19;20;32;37;45
6292;6;8;2019;3;4;24;39;40;43
6293;8;8;2019;7;18;30;39;45;48
6294;10;8;2019;8;14;19;36;44;47
6295;13;8;2019;3;5;8;32;37;49
6296;15;8;2019;9;14;21;24;40;48
6297;17;8;2019;6;19;25;27;34;40
6298;20;8;2019;14;24;27;28;32;45
6299;22;8;2019;3;10;16;19;34;42
6300;24;8;2019;4;9;19;20;22;25
6301;27;8;2019;17;27;28;31;35;47
6302;29;8;2019;19;30;40;41;44;45
6303;31;8;2019;1;18;29;42;45;47
6304;3;9;2019;4;5;6;7;21;45
6305;5;9;2019;2;9;36;43;44;47
6306;7;9;2019;9;18;22;28;30;39
6307;10;9;2019;15;19;24;26;41;47
6308;12;9;2019;8;10;14;22;31;38
6309;14;9;2019;4;7;24;42;43;47
6310;17;9;2019;8;27;37;39;44;49
6311;19;9;2019;9;27;31;34;45;46
6312;21;9;2019;2;19;24;35;43;47
6313;24;9;2019;16;18;26;29;34;45
6314;26;9;2019;6;7;14;19;37;44
6315;28;9;2019;3;13;33;36;38;41
6316;1;10;2019;2;3;33;38;40;44
6317;3;10;2019;3;5;7;17;21;41
6318;5;10;2019;10;15;16;30;39;48
6319;8;10;2019;2;13;15;44;45;48
6320;10;10;2019;24;27;30;32;34;37
6321;12;10;2019;7;17;18;20;21;42
6322;15;10;2019;5;16;21;27;31;38
6323;17;10;2019;22;25;28;32;38;47
6324;19;10;2019;19;20;36;37;40;46
6325;22;10;2019;1;16;19;22;40;48
6326;24;10;2019;6;10;12;26;43;44
6327;26;10;2019;8;20;24;34;35;48
6328;29;10;2019;2;12;14;17;40;47
6329;31;10;2019;4;17;35;42;47;48
6330;2;11;2019;7;23;26;41;45;46
6331;5;11;2019;11;19;35;38;40;45
6332;7;11;2019;10;25;26;29;32;48
6333;9;11;2019;5;18;23;26;42;44
6334;12;11;2019;2;36;39;42;43;49
6335;14;11;2019;5;11;15;17;27;44
6336;16;11;2019;1;5;7;8;12;42
6337;19;11;2019;11;13;22;26;28;30
6338;21;11;2019;23;26;29;38;39;42
6339;23;11;2019;11;19;28;33;37;42
6340;26;11;2019;16;18;19;26;34;49
6341;28;11;2019;14;19;20;22;25;38
6342;30;11;2019;1;8;12;17;42;43
6343;3;12;2019;1;11;30;34;39;49
6344;5;12;2019;2;3;18;29;37;43
6345;7;12;2019;3;15;20;26;34;43
6346;10;12;2019;19;24;29;31;35;37
6347;12;12;2019;13;22;26;42;46;49
6348;14;12;2019;1;27;34;36;38;44
6349;17;12;2019;9;19;34;36;45;49
6350;19;12;2019;5;13;16;17;34;46
6351;21;12;2019;6;18;19;24;46;48
6352;24;12;2019;1;4;6;26;33;47
6353;26;12;2019;5;6;11;19;34;44
6354;28;12;2019;11;14;17;20;21;46
6355;31;12;2019;12;13;19;20;36;45
6356;2;1;2020;10;11;23;34;35;36
6357;4;1;2020;3;4;8;11;14;36
6358;7;1;2020;7;11;12;23;37;44
6359;9;1;2020;7;8;17;26;29;43
6360;11;1;2020;33;34;35;43;44;45
6361;14;1;2020;9;14;29;37;44;46
6362;16;1;2020;2;12;13;23;44;47
6363;18;1;2020;6;10;24;28;31;37
6364;21;1;2020;8;10;17;22;29;49
6365;23;1;2020;24;28;34;36;45;48
6366;25;1;2020;3;5;24;44;45;49
6367;28;1;2020;1;11;16;18;20;40
6368;30;1;2020;5;6;17;20;25;49
6369;1;2;2020;2;12;16;30;48;49
6370;4;2;2020;3;6;16;25;32;38
6371;6;2;2020;2;8;13;17;20;40
6372;8;2;2020;6;9;27;29;41;46
6373;11;2;2020;16;21;30;31;39;42
6374;13;2;2020;8;20;33;35;42;48
6375;15;2;2020;10;21;24;26;34;42
6376;18;2;2020;4;9;14;28;45;49
6377;20;2;2020;17;22;24;31;39;48
6378;22;2;2020;8;29;30;35;38;40
6379;25;2;2020;2;21;32;34;38;45
6380;27;2;2020;1;3;8;20;34;45
6381;29;2;2020;11;13;15;27;38;45
6382;3;3;2020;19;20;23;33;37;45
6383;5;3;2020;15;25;28;37;41;46
6384;7;3;2020;4;22;25;29;32;45
6385;10;3;2020;1;6;11;17;30;46
6386;12;3;2020;3;27;42;43;44;47
6387;14;3;2020;3;17;27;31;38;40
6388;17;3;2020;9;20;35;41;42;46
6389;19;3;2020;4;7;16;21;30;45
6390;21;3;2020;3;16;17;34;35;48
6391;24;3;2020;14;17;28;34;36;48
6392;26;3;2020;6;12;24;43;45;47
6393;28;3;2020;6;16;33;35;38;49
6394;31;3;2020;4;11;18;32;42;43
6395;2;4;2020;4;9;23;35;42;46
6396;4;4;2020;22;25;35;38;39;48
6397;7;4;2020;4;10;15;19;29;35
6398;9;4;2020;24;26;27;39;43;48
6399;11;4;2020;11;18;20;28;39;46
6400;14;4;2020;8;22;23;35;42;49
6401;16;4;2020;19;35;36;43;44;45
6402;18;4;2020;1;2;3;28;36;46
6403;21;4;2020;7;29;42;44;45;49
6404;23;4;2020;3;24;27;42;46;48
6405;25;4;2020;11;20;28;32;33;46
6406;28;4;2020;14;21;25;30;40;48
6407;30;4;2020;15;29;32;43;44;48
6408;2;5;2020;8;18;25;31;32;43
6409;5;5;2020;17;26;30;42;48;49
6410;7;5;2020;16;31;34;36;43;44
6411;9;5;2020;2;6;15;18;28;36
6412;12;5;2020;4;18;27;35;46;49
6413;14;5;2020;3;8;11;12;21;33
6414;16;5;2020;10;15;26;28;37;40
6415;19;5;2020;2;5;22;33;38;44
6416;21;5;2020;2;4;12;30;36;47
6417;23;5;2020;2;5;19;29;31;47
6418;26;5;2020;14;18;20;37;42;46
6419;28;5;2020;22;23;37;38;42;44
6420;30;5;2020;2;7;26;33;39;40
6421;2;6;2020;9;17;20;25;42;44
6422;4;6;2020;2;10;14;17;22;37
6423;6;6;2020;1;6;23;42;44;46
6424;9;6;2020;9;11;36;39;40;44
6425;11;6;2020;16;30;31;32;33;47
6426;13;6;2020;16;18;25;31;35;42
6427;16;6;2020;3;27;28;40;45;49
6428;18;6;2020;5;18;27;40;45;48
6429;20;6;2020;13;14;16;23;25;44
6430;23;6;2020;13;20;22;31;38;49
6431;25;6;2020;14;18;20;26;29;42
6432;27;6;2020;14;19;27;31;35;38
6433;30;6;2020;5;8;10;15;30;37
6434;2;7;2020;1;27;28;30;35;38
6435;4;7;2020;14;21;27;30;41;45
6436;7;7;2020;15;16;30;38;45;49
6437;9;7;2020;18;21;24;27;29;35
6438;11;7;2020;1;3;13;15;21;45
6439;14;7;2020;30;33;34;35;36;47
6440;16;7;2020;2;10;13;33;39;42
6441;18;7;2020;7;19;24;35;37;41
6442;21;7;2020;2;8;12;24;28;35
6443;23;7;2020;10;18;29;39;40;41
6444;25;7;2020;7;10;13;38;41;42
6445;28;7;2020;11;14;23;25;34;43
6446;30;7;2020;10;16;19;26;36;49
6447;1;8;2020;10;34;39;40;46;49
6448;4;8;2020;3;10;17;20;35;37
6449;6;8;2020;11;16;17;20;31;39
6450;8;8;2020;4;6;7;14;28;29
6451;11;8;2020;4;13;21;23;31;44
6452;13;8;2020;9;14;28;31;34;41
6453;15;8;2020;4;6;26;27;30;39
6454;18;8;2020;15;19;28;31;46;48
6455;20;8;2020;6;12;13;20;27;31
6456;22;8;2020;8;23;32;34;47;49
6457;25;8;2020;20;23;36;39;47;48
6458;27;8;2020;17;18;25;27;29;46
6459;29;8;2020;2;3;18;24;32;33
6460;1;9;2020;21;22;25;30;43;47
6461;3;9;2020;4;6;14;16;25;27
6462;5;9;2020;9;32;37;39;46;49
6463;8;9;2020;3;7;15;29;30;49
6464;10;9;2020;7;8;13;20;28;33
6465;12;9;2020;2;20;27;29;33;45
6466;15;9;2020;3;13;14;16;30;44
6467;17;9;2020;1;6;7;10;33;44
6468;19;9;2020;4;23;24;30;31;39
6469;22;9;2020;10;22;30;36;40;46
6470;24;9;2020;16;18;19;23;25;27
6471;26;9;2020;12;27;31;38;39;46
6472;29;9;2020;12;20;24;31;33;45
6473;1;10;2020;2;13;22;24;25;36
6474;3;10;2020;4;14;27;31;45;46
6475;6;10;2020;2;14;17;18;20;30
6476;8;10;2020;1;15;21;38;46;48
6477;10;10;2020;2;10;14;16;22;31
6478;13;10;2020;4;7;10;17;32;38
6479;15;10;2020;25;31;39;46;48;49
6480;17;10;2020;8;12;28;29;34;36
6481;20;10;2020;15;17;19;21;22;44
6482;22;10;2020;2;24;33;47;48;49
6483;24;10;2020;7;12;32;46;47;48
6484;27;10;2020;2;10;30;32;40;43
6485;29;10;2020;21;25;34;43;44;47
6486;31;10;2020;10;15;25;32;39;43
6487;3;11;2020;5;17;25;26;31;36
6488;5;11;2020;3;17;36;41;43;47
6489;7;11;2020;4;10;13;30;43;49
6490;10;11;2020;3;5;16;25;31;39
6491;12;11;2020;8;24;35;38;44;46
6492;14;11;2020;7;8;11;25;40;49
6493;17;11;2020;4;5;13;17;26;30
6494;19;11;2020;16;38;39;40;45;47
6495;21;11;2020;27;28;32;35;40;49
6496;24;11;2020;5;6;9;27;34;37
6497;26;11;2020;7;12;23;27;35;40
6498;28;11;2020;3;9;12;23;33;39
6499;1;12;2020;9;22;24;27;29;37
6500;3;12;2020;1;20;27;44;45;46
6501;5;12;2020;3;12;17;23;25;30
6502;8;12;2020;1;3;18;29;34;40
6503;10;12;2020;6;9;23;24;28;29
6504;12;12;2020;5;12;13;37;40;41
6505;15;12;2020;1;3;11;12;35;45
6506;17;12;2020;2;3;5;12;40;47
6507;19;12;2020;3;16;32;35;36;38
6508;22;12;2020;8;13;17;31;33;46
6509;24;12;2020;8;16;28;30;32;48
6510;26;12;2020;5;9;11;27;33;41
6511;29;12;2020;4;27;29;31;39;49
6512;31;12;2020;3;29;31;36;37;39
6513;2;1;2021;8;13;17;27;35;44
6514;5;1;2021;4;19;20;21;38;40
6515;7;1;2021;4;6;23;34;40;49
6516;9;1;2021;7;15;20;35;36;46
6517;12;1;2021;5;7;9;25;34;45
6518;14;1;2021;3;13;14;24;32;45
6519;16;1;2021;4;12;19;26;43;49
